GAME_ID,EVENTNUM,EVENTMSGTYPE,EVENTMSGACTIONTYPE,PERIOD,WCTIMESTRING,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,SCORE,SCOREMARGIN,PERSON1TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER1_TEAM_CITY,PLAYER1_TEAM_NICKNAME,PLAYER1_TEAM_ABBREVIATION,PERSON2TYPE,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER2_TEAM_CITY,PLAYER2_TEAM_NICKNAME,PLAYER2_TEAM_ABBREVIATION,PERSON3TYPE,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,PLAYER3_TEAM_CITY,PLAYER3_TEAM_NICKNAME,PLAYER3_TEAM_ABBREVIATION
0041800403,362,1,41,3,10:35 PM,11:22,,,Leonard 1' Running Layup (11 PTS) (Siakam 3 AST),64 - 52,-12,5,202695,Kawhi Leonard,1610612761,Toronto,Raptors,TOR,5,1627783,Pascal Siakam,1610612761,Toronto,Raptors,TOR,0,0,,,,,
0041800403,364,5,1,3,10:35 PM,11:04,Cousins Bad Pass Turnover (P3.T11),,VanVleet STEAL (2 STL),,,4,202326,DeMarcus Cousins,1610612744,Golden State,Warriors,GSW,5,1627832,Fred VanVleet,1610612761,Toronto,Raptors,TOR,0,0,,,,,
0041800403,367,1,6,3,10:35 PM,10:46,,,Gasol 2' Driving Layup (12 PTS) (Lowry 4 AST),66 - 52,-14,5,201188,Marc Gasol,1610612761,Toronto,Raptors,TOR,5,200768,Kyle Lowry,1610612761,Toronto,Raptors,TOR,0,0,,,,,
0041800403,369,1,1,3,10:36 PM,10:31,Iguodala 24' 3PT Jump Shot (5 PTS) (Green 2 AST),,,66 - 55,-11,4,2738,Andre Iguodala,1610612744,Golden State,Warriors,GSW,4,203110,Draymond Green,1610612744,Golden State,Warriors,GSW,0,0,,,,,
0041800403,372,2,1,3,10:36 PM,10:01,,,MISS VanVleet 27' 3PT Jump Shot,,,5,1627832,Fred VanVleet,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0,0,,,,,
0041800403,373,4,0,3,10:36 PM,9:59,Cousins REBOUND (Off:0 Def:2),,,,,4,202326,DeMarcus Cousins,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,374,1,78,3,10:37 PM,9:49,Curry 13' Floating Jump Shot (27 PTS) (Green 3 AST),,,66 - 57,-9,4,201939,Stephen Curry,1610612744,Golden State,Warriors,GSW,4,203110,Draymond Green,1610612744,Golden State,Warriors,GSW,0,0,,,,,
0041800403,376,5,39,3,10:37 PM,9:28,,,Siakam Step Out of Bounds Turnover (P1.T9),,,5,1627783,Pascal Siakam,1610612761,Toronto,Raptors,TOR,0,0,,,,,,1,0,,,,,
0041800403,377,1,98,3,10:37 PM,9:19,Curry 2' Cutting Layup Shot (29 PTS) (Cousins 2 AST),,,66 - 59,-7,4,201939,Stephen Curry,1610612744,Golden State,Warriors,GSW,4,202326,DeMarcus Cousins,1610612744,Golden State,Warriors,GSW,0,0,,,,,
0041800403,379,5,2,3,10:38 PM,9:02,Cousins STEAL (1 STL),,Gasol Lost Ball Turnover (P1.T10),,,5,201188,Marc Gasol,1610612761,Toronto,Raptors,TOR,4,202326,DeMarcus Cousins,1610612744,Golden State,Warriors,GSW,0,0,,,,,
0041800403,381,2,5,3,10:38 PM,8:55,MISS Cousins 3' Layup,,,,,4,202326,DeMarcus Cousins,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,382,4,0,3,10:38 PM,8:54,,,Siakam REBOUND (Off:1 Def:5),,,5,1627783,Pascal Siakam,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0,0,,,,,
0041800403,383,1,1,3,10:38 PM,8:45,,,Leonard 28' 3PT Jump Shot (14 PTS) (Siakam 4 AST),69 - 59,-10,5,202695,Kawhi Leonard,1610612761,Toronto,Raptors,TOR,5,1627783,Pascal Siakam,1610612761,Toronto,Raptors,TOR,0,0,,,,,
0041800403,385,1,1,3,10:38 PM,8:27,Iguodala 25' 3PT Jump Shot (8 PTS) (Livingston 2 AST),,,69 - 62,-7,4,2738,Andre Iguodala,1610612744,Golden State,Warriors,GSW,4,2733,Shaun Livingston,1610612744,Golden State,Warriors,GSW,0,0,,,,,
0041800403,387,1,1,3,10:39 PM,8:05,,,Lowry  3PT Jump Shot (18 PTS) (Gasol 1 AST),72 - 62,-10,5,200768,Kyle Lowry,1610612761,Toronto,Raptors,TOR,5,201188,Marc Gasol,1610612761,Toronto,Raptors,TOR,0,0,,,,,
0041800403,389,2,78,3,10:39 PM,7:55,MISS Curry 13' Floating Jump Shot,,,,,4,201939,Stephen Curry,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,390,4,0,3,10:39 PM,7:53,,,Lowry REBOUND (Off:0 Def:2),,,5,200768,Kyle Lowry,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0,0,,,,,
0041800403,391,6,2,3,10:39 PM,7:42,Livingston S.FOUL (P2.T2) (D.Guthrie),,,,,4,2733,Shaun Livingston,1610612744,Golden State,Warriors,GSW,5,202695,Kawhi Leonard,1610612761,Toronto,Raptors,TOR,1,0,,,,,
0041800403,393,3,11,3,10:39 PM,7:42,,,MISS Leonard Free Throw 1 of 2,,,5,202695,Kawhi Leonard,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0,0,,,,,
0041800403,394,4,1,3,10:39 PM,7:42,,,Raptors Rebound,,,3,1610612761,,,,,,0,0,,,,,,0,0,,,,,
0041800403,395,3,12,3,10:40 PM,7:42,,,Leonard Free Throw 2 of 2 (15 PTS),73 - 62,-11,5,202695,Kawhi Leonard,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0,0,,,,,
0041800403,396,2,1,3,10:40 PM,7:31,MISS Curry 29' 3PT Jump Shot,,,,,4,201939,Stephen Curry,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,397,4,0,3,10:40 PM,7:30,,,Leonard REBOUND (Off:0 Def:4),,,5,202695,Kawhi Leonard,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0,0,,,,,
0041800403,398,2,1,3,10:40 PM,7:23,,,MISS Gasol 26' 3PT Jump Shot,,,5,201188,Marc Gasol,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0,0,,,,,
0041800403,399,4,0,3,10:41 PM,7:21,Iguodala REBOUND (Off:0 Def:3),,,,,4,2738,Andre Iguodala,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,400,2,5,3,10:41 PM,7:15,MISS Cousins 3' Layup,,Leonard BLOCK (1 BLK),,,4,202326,DeMarcus Cousins,1610612744,Golden State,Warriors,GSW,0,0,,,,,,5,202695,Kawhi Leonard,1610612761,Toronto,Raptors,TOR
0041800403,402,4,0,3,10:41 PM,7:14,Livingston REBOUND (Off:1 Def:0),,,,,4,2733,Shaun Livingston,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,403,2,5,3,10:41 PM,7:13,MISS Livingston 4' Layup,,,,,4,2733,Shaun Livingston,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,404,4,0,3,10:41 PM,7:12,Iguodala REBOUND (Off:1 Def:3),,,,,4,2738,Andre Iguodala,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,405,2,1,3,10:41 PM,7:08,MISS Curry 21' Jump Shot,,,,,4,201939,Stephen Curry,1610612744,Golden State,Warriors,GSW,0,0,,,,,,0,0,,,,,
0041800403,406,4,0,3,10:41 PM,7:07,,,Gasol REBOUND (Off:0 Def:4),,,5,201188,Marc Gasol,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0,0,,,,,
0041800403,407,2,79,3,10:41 PM,7:00,,,MISS Leonard 26' 3PT Pullup Jump Shot,,,5,202695,Kawhi Leonard,1610612761,Toronto,Raptors,TOR,0,0,,,,,,0,0,,,,,
